id,is_iceberg
5941774d,2.5456059482564797e-10
4023181e,0.36328718066215515
b20200e4,3.731884135049768e-08
e7f018bb,0.9996674060821533
4371c8c3,2.6931849106404115e-07
a8d9b1fd,0.015805471688508987
29e7727e,0.32408469915390015
92a51ffb,0.9997923970222473
c769ac97,3.436835167044787e-14
aee0547d,1.7016137369660773e-32
565b28ac,8.128654119474879e-20
e04e9775,0.011115050874650478
8e8161d1,1.7373476518100367e-13
4cf4d256,0.710551917552948
139e5324,2.3056444433298767e-25
f156976f,1.541749177326815e-13
68a117cc,9.042350201937666e-12
d9aa7a56,0.022691570222377777
9005b143,4.774456753036151e-26
5f6d3988,0.9950608611106873
9ad70954,0.0006393757066689432
b9087b9e,0.9509270787239075
a39a1427,8.417392649562316e-08
82fbe8ed,2.8189333534101024e-05
1fae4879,0.0
6dd8f13d,1.1758174924002275e-24
bbad5958,1.798468474589754e-05
54527583,4.16092937882695e-09
be8fa29c,0.017612315714359283
81a3328f,0.9998200535774231
1a3c0ab3,1.5697248316229588e-24
4deeeb8b,0.9973899722099304
ac6d5632,0.005309303756803274
472dadb5,3.808426924933883e-07
96093f95,0.0147861298173666
f5b4e3df,0.9805769324302673
e01a3c92,0.017686400562524796
001680af,0.0018119757296517491
8e639f33,0.0009006917243823409
a2c16612,0.9911797642707825
a6d76474,0.0
19c47684,0.0401514396071434
015827b6,3.897838649069563e-11
7df7f7ce,0.010110119357705116
0bbf1a3f,0.7643340229988098
636cfbb7,0.7825828194618225
7370030a,0.8700647950172424
43aa97ad,0.0
ba2b5e63,0.9994900226593018
dfdd335b,0.9217140674591064
e79b13dc,0.0
dc32b195,0.0
6d868590,0.8603634238243103
75fa59aa,2.4447397663607262e-05
ffe50836,9.377358622941756e-08
a7bfd784,0.9993146657943726
b3d569e3,8.792136940369288e-13
6c538c5b,0.10018087923526764
5c7c15f4,1.5846148447806867e-17
0b745139,1.3318222045199946e-06
fd14608e,0.0759764313697815
f0bc8305,6.353400028302758e-10
a10ccb28,0.999601423740387
543304c7,1.9586628695833497e-05
6c3a4078,0.0
9b73cc75,0.3147382438182831
5c6c71b1,0.11382932960987091
09ee9186,0.006785659585148096
207c35cf,0.09262652695178986
153c813e,0.0
5605d58b,0.26763013005256653
642ca396,5.0370945245958865e-06
d32d72c0,0.00403128657490015
16646a17,0.9978467226028442
384074af,0.0026639020070433617
69bf1e8c,0.39157822728157043
9e90a054,0.7103874087333679
89dbe7f7,0.9959707856178284
dbd27d22,0.09740632772445679
a2ea1561,0.019214743748307228
d63402af,0.009192964062094688
1ac8bb92,0.9984180927276611
8beffca5,6.158696487545967e-05
46741f3e,6.813464015209547e-09
e5ee6aa7,0.00017977617972064763
5ecd892b,0.11156834661960602
